Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
AUG-20230101-BEA-0,2023-01-01,CUST-47194,Female,29,Beauty,5,142,710
AUG-20230101-CLO-2,2023-01-01,CUST-99789,Female,33,Clothing,2,285,570
AUG-20230101-CLO-1,2023-01-01,CUST-47065,Male,35,Clothing,2,287,574
AUG-20230101-ELE-2,2023-01-01,CUST-90077,Male,36,Electronics,1,1023,1023
AUG-20230101-ELE-1,2023-01-01,CUST-33483,Male,32,Electronics,2,1023,2046
AUG-20230101-CLO-0,2023-01-01,CUST-50757,Male,21,Clothing,2,111,222
AUG-20230101-BEA-4,2023-01-01,CUST-41551,Male,22,Beauty,3,148,444
AUG-20230101-BEA-3,2023-01-01,CUST-94478,Male,24,Beauty,1,84,84
AUG-20230101-BEA-2,2023-01-01,CUST-38693,Male,24,Beauty,5,202,1010
AUG-20230101-BEA-1,2023-01-01,CUST-51090,Female,23,Beauty,5,136,680
AUG-20230101-ELE-0,2023-01-01,CUST-90038,Male,22,Electronics,1,895,895
AUG-20230102-ELE-4,2023-01-02,CUST-64268,Male,30,Electronics,1,1071,1071
AUG-20230102-CLO-3,2023-01-02,CUST-65016,Female,24,Clothing,1,330,330
AUG-20230102-CLO-2,2023-01-02,CUST-85766,Male,33,Clothing,2,375,750
AUG-20230102-CLO-1,2023-01-02,CUST-59080,Female,38,Clothing,2,223,446
AUG-20230102-CLO-0,2023-01-02,CUST-43827,Male,23,Clothing,3,286,858
AUG-20230102-ELE-3,2023-01-02,CUST-16910,Male,40,Electronics,1,855,855
AUG-20230102-ELE-0,2023-01-02,CUST-62251,Female,38,Electronics,1,433,433
AUG-20230102-ELE-1,2023-01-02,CUST-99135,Female,37,Electronics,2,969,1938
AUG-20230102-BEA-2,2023-01-02,CUST-15258,Female,30,Beauty,1,160,160
AUG-20230102-BEA-1,2023-01-02,CUST-58984,Female,19,Beauty,5,43,215
AUG-20230102-BEA-0,2023-01-02,CUST-22185,Female,27,Beauty,2,142,284
AUG-20230102-ELE-2,2023-01-02,CUST-80592,Male,40,Electronics,2,946,1892
AUG-20230103-CLO-0,2023-01-03,CUST-49384,Female,35,Clothing,1,312,312
AUG-20230103-CLO-4,2023-01-03,CUST-39299,Female,36,Clothing,2,172,344
AUG-20230103-CLO-3,2023-01-03,CUST-76690,Female,20,Clothing,3,198,594
AUG-20230103-CLO-2,2023-01-03,CUST-30932,Female,31,Clothing,2,362,724
AUG-20230103-CLO-1,2023-01-03,CUST-26371,Male,40,Clothing,3,295,885
AUG-20230103-ELE-2,2023-01-03,CUST-81295,Female,28,Electronics,1,695,695
AUG-20230103-BEA-3,2023-01-03,CUST-97092,Female,24,Beauty,1,155,155
AUG-20230103-ELE-0,2023-01-03,CUST-52107,Male,36,Electronics,2,349,698
AUG-20230103-BEA-4,2023-01-03,CUST-47157,Female,26,Beauty,4,149,596
AUG-20230103-BEA-2,2023-01-03,CUST-95616,Female,29,Beauty,2,158,316
AUG-20230103-BEA-1,2023-01-03,CUST-49353,Female,26,Beauty,1,138,138
AUG-20230103-BEA-0,2023-01-03,CUST-23545,Male,25,Beauty,3,165,495
AUG-20230103-ELE-1,2023-01-03,CUST-82082,Male,47,Electronics,2,850,1700
AUG-20230104-CLO-2,2023-01-04,CUST-99912,Male,19,Clothing,1,365,365
AUG-20230104-CLO-1,2023-01-04,CUST-64748,Female,37,Clothing,1,352,352
AUG-20230104-CLO-0,2023-01-04,CUST-55017,Male,22,Clothing,3,201,603
AUG-20230104-ELE-4,2023-01-04,CUST-36641,Male,31,Electronics,2,1368,2736
AUG-20230104-ELE-3,2023-01-04,CUST-75726,Male,35,Electronics,1,918,918
AUG-20230104-ELE-2,2023-01-04,CUST-53525,Female,38,Electronics,2,667,1334
AUG-20230104-ELE-0,2023-01-04,CUST-15600,Female,37,Electronics,2,487,974
AUG-20230104-BEA-4,2023-01-04,CUST-29738,Female,20,Beauty,5,81,405
AUG-20230104-BEA-3,2023-01-04,CUST-80091,Female,30,Beauty,3,171,513
AUG-20230104-BEA-2,2023-01-04,CUST-96831,Female,21,Beauty,1,95,95
